Frame,Time,Dextran_Area,Dextran_Mean,Dextran_Min,Dextran_Max
176,130.24,90.161,4.785,3,17
177,130.98,90.161,5.079,3,12
178,131.72,90.161,5.068,3,19
179,132.46,90.161,4.508,2,17
180,133.2,90.161,5.028,3,18
181,133.94,90.161,5.599,3,32
182,134.68,90.161,4.87,3,14
183,135.42,90.161,5.254,3,21
184,136.16,90.161,5.186,3,21
185,136.9,90.161,5.181,3,25
186,137.64,90.161,5.734,3,25
187,138.38,90.161,4.972,3,20
188,139.12,90.161,5.65,4,22
189,139.86,90.161,4.966,3,20
190,140.6,90.161,4.531,3,14
191,141.34,90.161,5.559,3,26
192,142.08,90.161,4.893,3,14
193,142.82,90.161,5.085,3,16
194,143.56,90.161,4.192,3,8
195,144.3,90.161,4.226,3,9
196,145.04,90.161,5.322,3,47
197,145.78,90.161,4.593,3,11
198,146.52,90.161,5.232,3,15
199,147.26,90.161,4.667,3,16
200,148,90.161,4.655,3,14
201,148.74,90.161,4.073,3,8
202,149.48,90.161,4.644,3,18
203,150.22,90.161,4.904,3,13
204,150.96,90.161,4.525,3,16
205,151.7,90.161,4.266,3,16
206,152.44,90.161,4.565,3,11
207,153.18,90.161,4.616,3,8
208,153.92,90.161,4.994,3,17
209,154.66,90.161,4.949,3,16
210,155.4,90.161,4.91,3,14
211,156.14,90.161,4.74,3,16
212,156.88,90.161,6.441,3,31
213,157.62,90.161,5.61,3,51
214,158.36,90.161,5.113,3,15
215,159.1,90.161,5.339,3,18
216,159.84,90.161,4.983,3,10
217,160.58,90.161,5.571,3,20
218,161.32,90.161,5.113,3,17
219,162.06,90.161,4.633,3,20
220,162.8,90.161,4.774,3,16
221,163.54,90.161,5.141,3,16
222,164.28,90.161,4.548,3,25
223,165.02,90.161,4.559,3,21
224,165.76,90.161,4.486,3,11
225,166.5,90.161,4.424,3,28
226,167.24,90.161,4.61,3,17
227,167.98,90.161,4.802,3,25
228,168.72,90.161,4.887,3,17
229,169.46,90.161,4.695,3,24
230,170.2,90.161,4.695,3,13
231,170.94,90.161,4.435,3,11
232,171.68,90.161,4.559,3,20
233,172.42,90.161,5.226,3,56
234,173.16,90.161,4.062,3,12
235,173.9,90.161,5.367,3,77
236,174.64,90.161,4.469,3,23
237,175.38,90.161,4.514,3,16
238,176.12,90.161,4.729,3,25
239,176.86,90.161,4.701,3,24
240,177.6,90.161,4.802,3,20
241,178.34,90.161,4.537,3,23
242,179.08,90.161,5.062,3,15
243,179.82,90.161,4.944,3,15
244,180.56,90.161,4.87,3,33
245,181.3,90.161,4.927,3,29
246,182.04,90.161,5.576,3,26
247,182.78,90.161,5.294,3,18
248,183.52,90.161,5.107,3,28
249,184.26,90.161,5.554,3,21
250,185,90.161,5.661,3,30
251,185.74,90.161,5.169,3,31
252,186.48,90.161,5.384,3,22
253,187.22,90.161,4.91,3,18
254,187.96,90.161,6.102,3,24
255,188.7,90.161,5.537,3,19
256,189.44,90.161,5.859,3,39
257,190.18,90.161,5.486,3,17
258,190.92,90.161,4.559,3,15
259,191.66,90.161,4.678,3,11
260,192.4,90.161,5.13,3,17
261,193.14,90.161,5.367,3,21
262,193.88,90.161,4.689,3,21
263,194.62,90.161,4.627,3,31
264,195.36,90.161,4.887,3,22
265,196.1,90.161,4.638,3,21
266,196.84,90.161,4.802,3,10
267,197.58,90.161,4.441,3,15
268,198.32,90.161,4.718,3,16
269,199.06,90.161,4.282,3,18
270,199.8,90.161,5.141,3,28
271,200.54,90.161,4.362,3,16
272,201.28,90.161,4.435,3,14
273,202.02,90.161,4.689,3,21
274,202.76,90.161,4.486,2,31
275,203.5,90.161,4.633,3,21
276,204.24,90.161,4.621,3,22
277,204.98,90.161,4.492,3,15
278,205.72,90.161,4.356,3,16
279,206.46,90.161,4.429,3,16
280,207.2,90.161,4.011,3,15
281,207.94,90.161,4.729,2,19
282,208.68,90.161,4.605,3,23
283,209.42,90.161,4.463,3,17
284,210.16,90.161,4.181,3,14
285,210.9,90.161,5.237,3,17
286,211.64,90.161,4.565,3,11
287,212.38,90.161,3.977,2,12
288,213.12,90.161,4.412,3,22
289,213.86,90.161,4.915,3,17
290,214.6,90.161,4.441,3,14
291,215.34,90.161,4.802,3,17
292,216.08,90.161,4.644,3,16
293,216.82,90.161,6.09,3,32
294,217.56,90.161,5.136,3,18
295,218.3,90.161,5.13,3,22
296,219.04,90.161,5.322,3,15
297,219.78,90.161,5.684,3,31
298,220.52,90.161,4.774,3,13
299,221.26,90.161,5.249,3,19
300,222,90.161,4.91,3,17
301,222.74,90.161,4.339,3,17
302,223.48,90.161,4.949,3,23
303,224.22,90.161,5.141,3,33
304,224.96,90.161,4.356,3,24
305,225.7,90.161,3.938,3,13
306,226.44,90.161,4.582,3,35
307,227.18,90.161,5.051,3,21
308,227.92,90.161,4.91,3,15
309,228.66,90.161,4.514,3,13
310,229.4,90.161,4.774,3,9
311,230.14,90.161,4.412,3,19
312,230.88,90.161,4.605,3,13
313,231.62,90.161,4.48,3,17
314,232.36,90.161,4.582,3,12
315,233.1,90.161,4.599,3,9
316,233.84,90.161,5.073,3,18
317,234.58,90.161,4.655,3,10
318,235.32,90.161,4.548,3,19
319,236.06,90.161,4.565,3,16
320,236.8,90.161,5.435,3,19
321,237.54,90.161,4.384,3,10
322,238.28,90.161,4.458,3,15
323,239.02,90.161,5.085,3,14
324,239.76,90.161,4.701,3,11
325,240.5,90.161,5.26,3,30
326,241.24,90.161,4.864,3,18
327,241.98,90.161,5,3,19
328,242.72,90.161,5.435,3,26
329,243.46,90.161,4.994,3,22
330,244.2,90.161,5.768,3,21
331,244.94,90.161,5.582,3,26
332,245.68,90.161,5.39,3,23
333,246.42,90.161,5.452,3,19
334,247.16,90.161,6.056,3,38
335,247.9,90.161,4.944,3,18
336,248.64,90.161,4.678,3,13
337,249.38,90.161,4.695,3,10
338,250.12,90.161,4.797,3,15
339,250.86,90.161,5.056,3,30
340,251.6,90.161,4.486,3,12
341,252.34,90.161,4.525,3,8
342,253.08,90.161,4.497,3,10
343,253.82,90.161,4.136,2,13
344,254.56,90.161,4.797,3,16
345,255.3,90.161,4.65,2,18
