Frame,Time,Dextran_Area,Dextran_Mean,Dextran_Min,Dextran_Max
177,77.349,123.035,2.405,0,9
178,77.786,123.035,2.757,0,12
179,78.223,123.035,2.189,0,7
180,78.66,123.035,3.324,0,12
181,79.097,123.035,3.378,0,14
182,79.534,123.035,2.297,0,9
183,79.971,123.035,9.865,0,27
184,80.408,123.035,2.568,0,9
185,80.845,123.035,2.838,0,9
186,81.282,123.035,6.757,0,27
187,81.719,123.035,3.405,0,14
188,82.156,123.035,4.135,0,12
189,82.593,123.035,10.73,0,34
190,83.03,123.035,3.054,0,7
191,83.467,123.035,2.676,0,9
192,83.904,123.035,10.676,0,34
193,84.341,123.035,2.649,0,9
194,84.778,123.035,3.135,0,9
195,85.215,123.035,2.838,0,12
196,85.652,123.035,3.081,0,19
197,86.089,123.035,4.297,0,14
198,86.526,123.035,3.378,0,9
199,86.963,123.035,7.324,0,27
200,87.4,123.035,6.541,0,22
201,87.837,123.035,7.649,0,36
202,88.274,123.035,10.054,0,22
203,88.711,123.035,9.189,0,27
204,89.148,123.035,6.892,0,36
205,89.585,123.035,8.838,2,24
206,90.022,123.035,9.568,0,24
207,90.459,123.035,8.514,0,22
208,90.896,123.035,10.297,0,44
209,91.333,123.035,10.73,0,39
210,91.77,123.035,4.459,0,17
211,92.207,123.035,3.486,0,14
212,92.644,123.035,5.919,0,17
213,93.081,123.035,2.243,0,9
214,93.518,123.035,4.297,0,14
215,93.955,123.035,5.973,0,24
216,94.392,123.035,3.135,0,19
217,94.829,123.035,4.676,0,22
218,95.266,123.035,4,0,19
219,95.703,123.035,3.568,0,17
220,96.14,123.035,4.432,0,19
221,96.577,123.035,5.459,0,36
222,97.014,123.035,8.027,0,32
223,97.451,123.035,6.811,0,39
224,97.888,123.035,7.324,0,34
225,98.325,123.035,3.757,0,12
226,98.762,123.035,7.838,0,41
227,99.199,123.035,7.054,0,34
228,99.636,123.035,2.973,0,12
229,100.073,123.035,2.054,0,9
230,100.51,123.035,4.243,0,22
231,100.947,123.035,2.568,0,14
232,101.384,123.035,4,0,27
233,101.821,123.035,4.514,0,17
234,102.258,123.035,4.027,0,14
235,102.695,123.035,2.919,0,12
236,103.132,123.035,2.243,0,7
237,103.569,123.035,5.378,0,24
238,104.006,123.035,2.432,0,7
239,104.443,123.035,2.811,0,9
